Cup Type,Team Affiliation?,Team Level,Captain's Name,Captain's Email,Ex-Club,Player Name,Player Email
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,dfvsdv,dvsdfv@gmail.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,svdsgv,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,kev;qke,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,ej;qker,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,jbq;ekrq;,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,afndv ;qkev q,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,alsf v;er,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,Yes,a;kfv;qkev,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,;aekv f;akef,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,akejr;ekr,jaiveerkothari@yahoo.com
Northwestern World Cup,,Advanced,dfvsdv,dvsdfv@gmail.com,No,adv;etv,jaiveerkothari@yahoo.com
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,No,rads,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,234,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,No,d,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
Women's World Cup,628 lib place,Beginner,rads,radhikakalra2017@u.northwestern.edu,Yes,sd,radhikakalra2017@u.northwestern.edu
